arch,aug,epoch,train_loss,train_acc,val_loss,val_acc,lr
DeepCNN,basic,45,2.30268,0.10007,2.30281,0.0942,0.002447
DeepCNN,basic,46,2.30266,0.09804,2.30277,0.0942,0.001571
DeepCNN,basic,47,2.30262,0.10064,2.30276,0.0942,0.000886
DeepCNN,basic,48,2.30261,0.10064,2.30276,0.0942,0.000394
DeepCNN,basic,49,2.30259,0.10062,2.30275,0.0942,9.9e-05
DeepCNN,basic,50,2.30258,0.10064,2.30275,0.0942,0.0
DeepCNN,medium,1,7.57676,0.0988,2.30524,0.1014,0.099901
DeepCNN,medium,2,2.30464,0.09947,2.30401,0.0942,0.099606
DeepCNN,medium,3,2.3046,0.10064,2.30386,0.0942,0.099114
DeepCNN,medium,4,2.30416,0.10056,2.30281,0.1064,0.098429
DeepCNN,medium,5,2.30466,0.09996,2.30613,0.0942,0.097553
DeepCNN,medium,6,2.30428,0.09944,2.30296,0.1,0.096489
DeepCNN,medium,7,2.30468,0.0994,2.30404,0.1002,0.095241
DeepCNN,medium,8,2.30435,0.09956,2.30408,0.1014,0.093815
DeepCNN,medium,9,2.30445,0.09896,2.30276,0.1028,0.092216
DeepCNN,medium,10,2.3038,0.10167,2.30596,0.0938,0.090451
DeepCNN,medium,11,2.30432,0.09958,2.30469,0.1,0.088526
DeepCNN,medium,12,2.30405,0.1004,2.30376,0.1008,0.086448
DeepCNN,medium,13,2.30433,0.09971,2.30381,0.1064,0.084227
DeepCNN,medium,14,2.30423,0.09871,2.30226,0.1028,0.081871
DeepCNN,medium,15,2.30403,0.09958,2.30365,0.1024,0.079389
DeepCNN,medium,16,2.3044,0.09889,2.30414,0.1024,0.076791
DeepCNN,medium,17,2.30391,0.0998,2.30332,0.0976,0.074088
DeepCNN,medium,18,2.30412,0.09807,2.30322,0.1064,0.071289
DeepCNN,medium,19,2.30399,0.10224,2.30361,0.0942,0.068406
DeepCNN,medium,20,2.30388,0.10158,2.30289,0.1002,0.065451
DeepCNN,medium,21,2.30379,0.09958,2.30424,0.1024,0.062434
DeepCNN,medium,22,2.30385,0.09789,2.30314,0.1028,0.059369
DeepCNN,medium,23,2.30353,0.1008,2.30423,0.1024,0.056267
DeepCNN,medium,24,2.30372,0.09824,2.30346,0.1014,0.05314
DeepCNN,medium,25,2.30361,0.10173,2.30348,0.1028,0.05
DeepCNN,medium,26,2.30348,0.09867,2.30368,0.0976,0.04686
DeepCNN,medium,27,2.3035,0.0974,2.30326,0.1008,0.043733
DeepCNN,medium,28,2.30349,0.0996,2.30316,0.1008,0.040631
DeepCNN,medium,29,2.30333,0.09829,2.30321,0.0976,0.037566
DeepCNN,medium,30,2.30336,0.09929,2.30298,0.1014,0.034549
DeepCNN,medium,31,2.30343,0.09804,2.30313,0.0942,0.031594
DeepCNN,medium,32,2.30328,0.09891,2.30314,0.1014,0.028711
DeepCNN,medium,33,2.30314,0.0992,2.30303,0.1008,0.025912
DeepCNN,medium,34,2.30316,0.09702,2.3033,0.0942,0.023209
DeepCNN,medium,35,2.30296,0.10027,2.30332,0.1008,0.020611
DeepCNN,medium,36,2.30298,0.1004,2.30304,0.0942,0.018129
DeepCNN,medium,37,2.30292,0.09851,2.30297,0.1002,0.015773
DeepCNN,medium,38,2.30297,0.09844,2.30264,0.1024,0.013552
DeepCNN,medium,39,2.30285,0.09969,2.30289,0.1002,0.011474
DeepCNN,medium,40,2.30289,0.09769,2.30297,0.0976,0.009549
DeepCNN,medium,41,2.3028,0.09849,2.30298,0.1008,0.007784
DeepCNN,medium,42,2.3028,0.0968,2.30279,0.1,0.006185
DeepCNN,medium,43,2.30275,0.09804,2.30288,0.0942,0.004759
DeepCNN,medium,44,2.30273,0.09798,2.3027,0.0942,0.003511
DeepCNN,medium,45,2.30268,0.10078,2.30267,0.0942,0.002447
DeepCNN,medium,46,2.30265,0.09976,2.30274,0.0942,0.001571
DeepCNN,medium,47,2.30262,0.09904,2.30272,0.0942,0.000886
DeepCNN,medium,48,2.30261,0.10064,2.30274,0.0942,0.000394
DeepCNN,medium,49,2.30259,0.10064,2.30274,0.0942,9.9e-05
DeepCNN,medium,50,2.30258,0.10064,2.30274,0.0942,0.0
DeepCNN,aggressive,1,5.60549,0.09878,2.3046,0.1028,0.099901
DeepCNN,aggressive,2,2.30472,0.09878,2.30333,0.1014,0.099606
DeepCNN,aggressive,3,2.30458,0.09938,2.30338,0.0942,0.099114
DeepCNN,aggressive,4,2.30448,0.09998,2.30366,0.0942,0.098429
DeepCNN,aggressive,5,2.3043,0.09913,2.30543,0.1064,0.097553
DeepCNN,aggressive,6,2.3041,0.10056,2.30472,0.1008,0.096489
DeepCNN,aggressive,7,2.30418,0.09862,2.30579,0.1028,0.095241
DeepCNN,aggressive,8,2.30449,0.09562,2.30432,0.1008,0.093815
DeepCNN,aggressive,9,2.30416,0.1016,2.30427,0.1064,0.092216
DeepCNN,aggressive,10,2.30451,0.09942,2.30345,0.1014,0.090451
DeepCNN,aggressive,11,2.30426,0.09996,2.30521,0.0942,0.088526
DeepCNN,aggressive,12,2.30428,0.09764,2.30395,0.0942,0.086448
DeepCNN,aggressive,13,2.30461,0.09996,2.30338,0.1008,0.084227
DeepCNN,aggressive,14,2.30411,0.10162,2.30312,0.1008,0.081871
DeepCNN,aggressive,15,2.30403,0.10184,2.30494,0.1,0.079389
DeepCNN,aggressive,16,2.30371,0.10104,2.30397,0.1028,0.076791
DeepCNN,aggressive,17,2.30411,0.09947,2.30328,0.1,0.074088
DeepCNN,aggressive,18,2.30379,0.10107,2.3038,0.1014,0.071289
DeepCNN,aggressive,19,2.30399,0.10049,2.30309,0.0976,0.068406
